cafe_id,study_score,seat_selection_count,concentration_selection_count,total_review_count
1,0.015176374,32,5,2438
2,0.026092629,33,7,1533
3,0.007481297,1,2,401
4,0.052721088,16,15,588
5,0.236681887,172,139,1314
6,0.087338804,41,108,1706
7,0.123873874,29,26,444
8,0.026239067,6,3,343
9,0.043859649,11,4,342
10,0.123015873,14,17,252
11,0.033333333,6,8,420
12,0.044091711,22,3,567
13,0.039832285,15,4,477
14,0.065891473,3,14,258
15,0.004608295,1,0,217
16,0.010989011,2,2,364
17,0.015748031,3,1,254
18,0.101941748,24,18,412
19,0,0,0,355
20,0.029657795,22,17,1315
21,0,0,0,753
22,0.014851485,4,2,404
23,0.020372011,14,9,1129
24,0.03058104,16,4,654
25,0.004405286,0,1,227
26,0.061452514,55,11,1074
27,0.008385744,3,1,477
28,0.011650485,2,4,515
29,0.055555556,27,4,558
30,0.030549898,10,5,491
31,0.15576324,18,32,321
32,0.033660589,18,6,713
33,0.065317387,65,77,2174
34,0.094763092,50,64,1203
35,0.140456182,50,67,833
36,0.040697674,15,6,516
37,0.137820513,26,17,312
38,0.133233533,39,50,668
39,0.145454545,19,29,330
40,0.020571429,13,5,875
41,0.073529412,13,7,272
42,0.023529412,5,7,510
43,0.029962547,5,3,267
44,0.024390244,5,3,328
45,0.06234414,16,9,401
46,0.089485459,13,27,447
47,0.076738609,22,10,417
48,0.104477612,34,22,536
49,0.016333938,6,3,551
50,0.020359281,11,6,835
51,0.022068966,13,3,725
52,0.007662835,0,2,261
53,0.026990553,18,2,741
54,0,0,0,307
55,0.005633803,2,2,710
56,0.009615385,3,1,416
57,0,0,0,395
58,0.141447368,20,23,304
59,0.007792208,2,1,385
60,0.043902439,12,6,410
61,0.007915567,1,2,379
62,0.024299065,10,3,535
63,0.092307692,8,10,195
64,0.038910506,25,5,771
65,0.019880716,5,5,503
66,0,0,0,212
67,0,0,0,397
68,0.044667274,15,34,1097
69,0.005347594,2,0,374
70,0.024774775,10,1,444
71,0.049751244,20,10,603
72,0.047115808,89,18,2271
73,0,0,0,310
74,0.046341463,14,5,410
75,0.035563875,48,28,2137
76,0.010731707,4,7,1025
77,0.0875,16,12,320
78,0.006299213,4,0,635
79,0.00155521,1,0,643
80,0.056906615,65,52,2056
81,0.119926199,40,25,542
82,0.11827957,38,28,558
83,0.064849624,35,34,1064
84,0.005277045,1,1,379
